,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,температура_воздуха_на_улице,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,отопление,среднемесячная_температура_на_улице,количество_рекламаций,температура_удовлетворительная_%,количество_рекламаций_кат,возраст_кат
13,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.44,21.1,24.1,53.6,0.04,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
14,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.44,23.7,24.1,53.1,0.11,165.1,65.0,0,0,1,1,0,22.0,0,56.18,мало,средний возраст
15,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,25.0,Женский,-1.0,1,Без изменений,1,Без изменений,,0.39,21.3,24.1,58.3,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,молодой возраст
16,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.4,21.9,24.1,59.2,0.05,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,молодой возраст
17,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,22.0,24.1,52.5,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст
18,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,24.2,24.1,47.5,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст
19,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,23.7,24.1,60.1,0.09,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст
20,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,22.2,24.1,61.5,0.12,165.1,65.0,0,0,-1,1,0,22.0,0,77.98,мало,молодой возраст
21,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.58,22.4,24.1,60.2,0.1,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст
22,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.55,23.5,24.1,64.0,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст
23,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.46,22.3,24.1,68.6,0.12,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст
24,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Больше,,0.5,23.7,24.1,62.4,0.14,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст
25,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.1,1,Холоднее,1,Без изменений,,0.55,22.4,24.1,58.2,0.05,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст
26,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.36,23.6,24.1,64.1,0.11,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст
27,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Холоднее,-1,Больше,,0.41,21.9,24.1,60.6,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,молодой возраст
28,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.6,24.1,58.1,0.06,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст
29,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,22.3,24.1,52.5,0.14,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст
30,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,-1,Больше,,0.46,23.8,24.1,53.8,0.03,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст
31,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.7,24.1,54.4,0.16,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст
32,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.41,22.1,24.1,49.9,0.08,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст
33,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Без изменений,1,Без изменений,,0.41,24.3,24.1,59.5,0.08,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст
34,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,1,Холоднее,1,Без изменений,,0.46,24.3,24.1,60.0,0.11,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст
35,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.6,24.1,49.5,0.16,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст
36,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.52,22.4,24.1,68.5,0.12,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст
37,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.43,21.9,24.1,58.7,0.09,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст
38,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.49,22.9,24.1,63.9,0.06,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст
39,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,2.0,-1,Холоднее,-1,Больше,,0.43,23.9,24.1,53.9,0.1,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст
40,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,1.0,-1,Холоднее,-1,Больше,,0.46,24.9,24.1,57.5,0.12,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст
41,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.43,22.1,24.1,62.2,0.13,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст
42,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,24.4,24.1,53.1,0.12,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,молодой возраст
43,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.55,23.7,24.1,62.4,0.07,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст
44,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.46,23.4,24.1,60.3,0.05,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,молодой возраст
45,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.38,23.5,24.1,56.5,0.1,165.1,65.0,0,0,1,0,0,22.0,0,77.98,мало,средний возраст
46,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.2,1,Без изменений,1,Без изменений,,0.55,22.2,24.1,51.1,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,77.98,мало,средний возраст
47,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45.0,Мужской,0.0,1,Без изменений,1,Без изменений,,0.39,21.9,24.1,59.2,0.11,165.1,65.0,0,0,0,0,0,22.0,0,77.98,мало,средний возраст
48,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,-1.0,-1,Теплее,-1,Меньше,,0.54,24.4,24.1,56.1,0.18,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
49,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.59,25.3,24.1,74.0,0.04,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
50,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.43,24.5,24.1,56.8,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
51,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.39,25.2,24.1,64.4,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
52,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.39,24.8,24.1,55.5,0.08,165.1,65.0,0,0,1,0,0,220.0,0,56.18,мало,средний возраст
53,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.55,24.0,24.1,75.8,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
54,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.45,25.2,24.1,67.4,0.07,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,молодой возраст
55,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,1.0,1,Без изменений,1,Без изменений,,0.37,25.3,24.1,71.5,0.12,165.1,65.0,0,0,1,0,0,22.0,0,56.18,мало,средний возраст
56,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.4,23.2,24.1,63.2,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
57,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,1.0,1,Без изменений,1,Без изменений,,0.46,24.4,24.1,68.7,0.09,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
58,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,1.0,-1,Холоднее,-1,Больше,,0.39,24.8,24.1,51.6,0.12,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст
59,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,1.0,1,Без изменений,1,Без изменений,,0.68,24.4,24.1,59.0,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
60,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,1.0,1,Без изменений,1,Без изменений,,0.42,25.3,24.1,69.4,0.13,165.1,65.0,0,0,1,1,0,22.0,0,56.18,мало,средний возраст
61,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,1.0,1,Без изменений,-1,Без изменений,,0.41,24.5,24.1,64.4,0.07,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
62,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.39,24.3,24.1,68.5,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
63,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.43,25.2,24.1,68.3,0.06,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
64,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,-1,Меньше,,0.4,25.6,24.1,70.4,0.31,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
65,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.63,24.2,24.1,43.5,0.09,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
66,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,1.0,1,Без изменений,1,Без изменений,,0.42,24.6,24.1,56.6,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
67,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.64,25.0,24.1,35.7,0.19,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст
68,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.43,23.5,24.1,62.3,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
69,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,-1.0,1,Теплее,1,Без изменений,,0.66,25.0,24.1,74.1,0.05,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
70,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Женский,1.0,1,Без изменений,1,Без изменений,,0.64,25.4,24.1,56.3,0.05,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,молодой возраст
71,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,1.0,-1,Холоднее,1,Больше,,0.52,25.0,24.1,64.0,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
72,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.37,25.0,24.1,50.9,0.09,165.1,65.0,0,0,1,0,0,22.0,0,56.18,мало,средний возраст
73,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,1.0,1,Холоднее,1,Без изменений,,0.37,24.2,24.1,54.6,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
74,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,1.0,-1,Холоднее,-1,Больше,,0.41,24.9,24.1,60.2,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
75,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.8,1,Холоднее,-1,Больше,,0.39,23.6,24.1,54.3,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
76,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,-1.0,1,Теплее,-1,Меньше,,0.51,25.1,24.1,60.3,0.11,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст
77,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.39,25.0,24.1,65.4,0.04,165.1,65.0,0,0,-1,1,0,22.0,0,56.18,мало,молодой возраст
78,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,1.1,-1,Холоднее,-1,Больше,,0.42,24.1,24.1,55.6,0.13,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст
79,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.43,23.9,24.1,53.7,0.08,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
80,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,3.0,-1,Холоднее,-1,Больше,,0.52,22.9,24.1,59.0,0.14,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
81,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,1.0,-1,Холоднее,-1,Больше,,0.42,24.4,24.1,59.6,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
82,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.56,24.0,24.1,75.7,0.07,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
83,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.43,24.4,24.1,59.6,0.07,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,молодой возраст
84,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.42,24.0,24.1,70.7,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
85,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.39,23.8,24.1,54.2,0.13,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
86,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55.0,Женский,0.0,1,Без изменений,1,Меньше,,0.59,22.6,24.1,66.3,0.21,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
87,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,2.0,-1,Холоднее,-1,Больше,,0.39,22.7,24.1,67.2,0.18,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
88,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65.0,Женский,-2.0,-1,Теплее,-1,Меньше,,0.71,25.2,24.1,54.4,0.09,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,пожилой возраст
89,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.52,25.1,24.1,51.7,0.09,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
90,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.42,24.6,24.1,67.7,0.1,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
91,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,3.0,-1,Холоднее,-1,Больше,,0.39,24.1,24.1,76.0,0.22,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
92,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,-1.0,-1,Теплее,1,Без изменений,,0.38,23.5,24.1,59.3,0.1,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,молодой возраст
93,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.44,23.1,24.1,61.9,0.08,165.1,65.0,0,0,0,0,0,22.0,0,56.18,мало,средний возраст
94,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,3.0,-1,Холоднее,-1,Больше,,0.39,23.9,24.1,63.6,0.21,165.1,65.0,0,0,1,0,0,22.0,0,56.18,мало,средний возраст
95,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45.0,Женский,1.0,-1,Холоднее,1,Без изменений,,0.5,25.1,24.1,56.5,0.06,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,средний возраст
96,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35.0,Женский,0.0,1,Без изменений,1,Без изменений,,0.37,23.0,24.1,65.5,0.11,165.1,65.0,0,0,-1,-1,0,22.0,0,56.18,мало,молодой возраст
