год;время_года;климат;страна;город;способ_охлаждения;режим_при_смешанном_типе_охлаждения;способ_обогрева;оценка_комфорта;пол;рост;вес;возраст;возраст_кат;утепление;ощущение_температуры;ощущение_температуры_(bool);предпочтительное_изменение_температуры;ощущение_движения_воздуха_(bool);предпочтительное_изменение_движения_воздуха;пресказанная_температура_помещения;температура_воздуха_в_помещении;температура_воздуха_на_улице;среднемесячная_температура_на_улице;скорость_воздуха;rh;rh_кат;занавески;вентилятор;окно;двери;отопление;количество_рекламаций;количество_рекламаций_кат;температура_удовлетворительная_%
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.55;1.0;-1;Холоднее;-1;Больше;23.775;24.7;24.1;22.0;0.06;48.9;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.37;2.0;-1;Холоднее;1;Больше;25.222;24.0;24.1;22.0;0.11;60.5;более_60;0;0;1;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.52;1.0;1;Холоднее;-1;Больше;23.265;24.1;24.1;22.0;0.08;53.5;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.44;0.0;1;Без изменений;1;Без изменений;22.962;21.1;24.1;22.0;0.04;53.6;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.44;0.0;1;Без изменений;1;Без изменений;24.277;23.7;24.1;22.0;0.11;53.1;норма;0;0;1;1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.39;-1.0;1;Без изменений;1;Без изменений;22.943;21.3;24.1;22.0;0.08;58.3;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.4;0.0;1;Без изменений;1;Без изменений;23.487;21.9;24.1;22.0;0.05;59.2;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;0.0;1;Без изменений;1;Без изменений;23.044;22.0;24.1;22.0;0.07;52.5;норма;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Без изменений;1;Без изменений;23.825;24.2;24.1;22.0;0.07;47.5;норма;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Без изменений;1;Без изменений;24.802;23.7;24.1;22.0;0.09;60.1;более_60;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Без изменений;1;Без изменений;24.384;22.2;24.1;22.0;0.12;61.5;более_60;0;0;-1;1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.58;0.0;1;Без изменений;1;Без изменений;22.931;22.4;24.1;22.0;0.1;60.2;более_60;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.55;0.0;1;Без изменений;1;Без изменений;22.828;23.5;24.1;22.0;0.07;64.0;более_60;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Без изменений;1;Без изменений;23.659;22.3;24.1;22.0;0.12;68.6;более_60;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.5;1.0;1;Без изменений;1;Больше;24.671;23.7;24.1;22.0;0.14;62.4;более_60;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.55;1.0;1;Холоднее;1;Без изменений;23.408;22.4;24.1;22.0;0.05;58.2;норма;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.36;0.0;1;Без изменений;1;Без изменений;24.072;23.6;24.1;22.0;0.11;64.1;более_60;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.41;1.0;1;Холоднее;-1;Больше;23.289;21.9;24.1;22.0;0.08;60.6;более_60;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;0.0;1;Без изменений;1;Без изменений;23.403;23.6;24.1;22.0;0.06;58.1;норма;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.46;0.0;1;Без изменений;1;Без изменений;24.102;22.3;24.1;22.0;0.14;52.5;норма;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.46;0.0;1;Без изменений;-1;Больше;23.07;23.8;24.1;22.0;0.03;53.8;норма;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;0.0;1;Без изменений;1;Без изменений;24.078;23.7;24.1;22.0;0.16;54.4;норма;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.41;0.0;1;Без изменений;1;Без изменений;24.221;22.1;24.1;22.0;0.08;49.9;норма;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.41;1.0;1;Без изменений;1;Без изменений;24.158;24.3;24.1;22.0;0.08;59.5;норма;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;1;Холоднее;1;Без изменений;24.086;24.3;24.1;22.0;0.11;60.0;норма;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;55.0;средний возраст;0.46;0.0;1;Без изменений;1;Без изменений;23.913;23.6;24.1;22.0;0.16;49.5;норма;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;55.0;средний возраст;0.52;0.0;1;Без изменений;1;Без изменений;23.78;22.4;24.1;22.0;0.12;68.5;более_60;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.43;0.0;1;Без изменений;1;Без изменений;23.539;21.9;24.1;22.0;0.09;58.7;норма;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.49;0.0;1;Без изменений;1;Без изменений;23.571;22.9;24.1;22.0;0.06;63.9;более_60;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.43;2.0;-1;Холоднее;-1;Больше;23.527;23.9;24.1;22.0;0.1;53.9;норма;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;1.0;-1;Холоднее;-1;Больше;24.259;24.9;24.1;22.0;0.12;57.5;норма;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.43;0.0;1;Без изменений;1;Без изменений;23.964;22.1;24.1;22.0;0.13;62.2;более_60;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;0.0;1;Без изменений;1;Без изменений;24.039;24.4;24.1;22.0;0.12;53.1;норма;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.55;0.0;1;Без изменений;1;Без изменений;23.459;23.7;24.1;22.0;0.07;62.4;более_60;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;35.0;молодой возраст;0.46;0.0;1;Без изменений;1;Без изменений;23.768;23.4;24.1;22.0;0.05;60.3;более_60;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.38;0.0;1;Без изменений;1;Без изменений;24.127;23.5;24.1;22.0;0.1;56.5;норма;0;0;1;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.55;0.0;1;Без изменений;1;Без изменений;22.856;22.2;24.1;22.0;0.09;51.1;норма;0;0;-1;-1;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Вентиляция;Вентиляция;Механическое отопление;;Мужской;165.1;65.0;45.0;средний возраст;0.39;0.0;1;Без изменений;1;Без изменений;23.687;21.9;24.1;22.0;0.11;59.2;норма;0;0;0;0;0;0;мало;78.0
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.54;-1.0;-1;Теплее;-1;Меньше;24.399;24.4;24.1;22.0;0.18;56.1;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.59;0.0;1;Без изменений;1;Без изменений;23.506;25.3;24.1;22.0;0.04;74.0;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.43;0.0;1;Без изменений;1;Без изменений;23.709;24.5;24.1;22.0;0.11;56.8;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.39;0.0;1;Без изменений;1;Без изменений;23.947;25.2;24.1;22.0;0.07;64.4;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.39;2.0;-1;Холоднее;-1;Больше;24.756;24.8;24.1;220.0;0.08;55.5;норма;0;0;1;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.55;0.0;1;Без изменений;1;Без изменений;23.077;24.0;24.1;22.0;0.08;75.8;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.45;2.0;-1;Холоднее;-1;Больше;24.607;25.2;24.1;22.0;0.07;67.4;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.37;1.0;1;Без изменений;1;Без изменений;25.385;25.3;24.1;22.0;0.12;71.5;более_60;0;0;1;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.4;0.0;1;Без изменений;1;Без изменений;24.0;23.2;24.1;22.0;0.09;63.2;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.46;1.0;1;Без изменений;1;Без изменений;24.805;24.4;24.1;22.0;0.09;68.7;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;65.0;пожилой возраст;0.39;1.0;-1;Холоднее;-1;Больше;24.983;24.8;24.1;22.0;0.12;51.6;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.68;1.0;1;Без изменений;1;Без изменений;23.423;24.4;24.1;22.0;0.09;59.0;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.42;1.0;1;Без изменений;1;Без изменений;25.563;25.3;24.1;22.0;0.13;69.4;более_60;0;0;1;1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.41;1.0;1;Без изменений;-1;Без изменений;24.679;24.5;24.1;22.0;0.07;64.4;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.39;2.0;-1;Холоднее;-1;Больше;24.776;24.3;24.1;22.0;0.08;68.5;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.43;0.0;1;Без изменений;1;Без изменений;24.242;25.2;24.1;22.0;0.06;68.3;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.4;0.0;1;Без изменений;-1;Меньше;23.703;25.6;24.1;22.0;0.31;70.4;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.63;0.0;1;Без изменений;1;Без изменений;24.085;24.2;24.1;22.0;0.09;43.5;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.42;1.0;1;Без изменений;1;Без изменений;24.291;24.6;24.1;22.0;0.08;56.6;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;65.0;пожилой возраст;0.64;0.0;1;Без изменений;1;Без изменений;25.053;25.0;24.1;22.0;0.19;35.7;менее_40;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.43;0.0;1;Без изменений;1;Без изменений;23.896;23.5;24.1;22.0;0.07;62.3;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.66;-1.0;1;Теплее;1;Без изменений;23.615;25.0;24.1;22.0;0.05;74.1;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.64;1.0;1;Без изменений;1;Без изменений;24.131;25.4;24.1;22.0;0.05;56.3;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.52;1.0;-1;Холоднее;1;Больше;24.298;25.0;24.1;22.0;0.06;64.0;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.37;2.0;-1;Холоднее;-1;Больше;25.343;25.0;24.1;22.0;0.09;50.9;норма;0;0;1;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.37;1.0;1;Холоднее;1;Без изменений;24.28;24.2;24.1;22.0;0.11;54.6;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.41;1.0;-1;Холоднее;-1;Больше;24.383;24.9;24.1;22.0;0.06;60.2;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.39;1.0;1;Холоднее;-1;Больше;23.808;23.6;24.1;22.0;0.11;54.3;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;65.0;пожилой возраст;0.51;-1.0;1;Теплее;-1;Меньше;24.176;25.1;24.1;22.0;0.11;60.3;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.39;2.0;-1;Холоднее;-1;Больше;24.702;25.0;24.1;22.0;0.04;65.4;более_60;0;0;-1;1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;65.0;пожилой возраст;0.42;1.0;-1;Холоднее;-1;Больше;24.772;24.1;24.1;22.0;0.13;55.6;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.43;0.0;1;Без изменений;1;Без изменений;23.754;23.9;24.1;22.0;0.08;53.7;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.52;3.0;-1;Холоднее;-1;Больше;24.911;22.9;24.1;22.0;0.14;59.0;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.42;1.0;-1;Холоднее;-1;Больше;23.911;24.4;24.1;22.0;0.06;59.6;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.56;0.0;1;Без изменений;1;Без изменений;23.028;24.0;24.1;22.0;0.07;75.7;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.43;0.0;1;Без изменений;1;Без изменений;24.103;24.4;24.1;22.0;0.07;59.6;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.42;0.0;1;Без изменений;1;Без изменений;24.231;24.0;24.1;22.0;0.08;70.7;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.39;0.0;1;Без изменений;1;Без изменений;24.541;23.8;24.1;22.0;0.13;54.2;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;55.0;средний возраст;0.59;0.0;1;Без изменений;1;Меньше;23.434;22.6;24.1;22.0;0.21;66.3;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.39;2.0;-1;Холоднее;-1;Больше;25.031;22.7;24.1;22.0;0.18;67.2;более_60;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;65.0;пожилой возраст;0.71;-2.0;-1;Теплее;-1;Меньше;23.411;25.2;24.1;22.0;0.09;54.4;норма;0;0;0;0;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;25.0;молодой возраст;0.52;0.0;1;Без изменений;1;Без изменений;23.566;25.1;24.1;22.0;0.09;51.7;норма;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;35.0;молодой возраст;0.42;0.0;1;Без изменений;1;Без изменений;23.803;24.6;24.1;22.0;0.1;67.7;более_60;0;0;-1;-1;0;0;мало;56.2
2010;Лето;Cубтропический океанический;Австралия;Сидней;Кондиционирование;Кондиционирование;Механическое отопление;;Женский;165.1;65.0;45.0;средний возраст;0.39;3.0;-1;Холоднее;-1;Больше;25.354;24.1;24.1;22.0;0.22;76.0;более_60;0;0;0;0;0;0;мало;56.2
